River,Year,Date,Daily.Count
Kenai,1987,7/4,652
Kenai,1987,7/5,695
Kenai,1987,7/6,565
Kenai,1987,7/7,747
Kenai,1987,7/8,564
Kenai,1987,7/9,462
Kenai,1987,7/10,472
Kenai,1987,7/11,413
Kenai,1987,7/12,1219
Kenai,1987,7/13,6841
Kenai,1987,7/14,6797
Kenai,1987,7/15,35742
Kenai,1987,7/16,24581
Kenai,1987,7/17,20208
Kenai,1987,7/18,13931
Kenai,1987,7/19,27169
Kenai,1987,7/20,163877
Kenai,1987,7/21,217837
Kenai,1987,7/22,190098
Kenai,1987,7/23,194435
Kenai,1987,7/24,185078
Kenai,1987,7/25,184880
Kenai,1987,7/26,160367
Kenai,1987,7/27,121469
Kenai,1987,7/28,102278
Kenai,1987,7/29,58188
Kenai,1987,7/30,52240
Kenai,1987,7/31,88507
Kenai,1987,8/1,87833
Kenai,1987,8/2,62206
Kenai,1987,8/3,40203
Kenai,1987,8/4,28655
Kenai,1987,8/5,26810
Kenai,1987,8/6,20798
Kenai,1987,8/7,19517
Kenai,1987,8/8,10849
Kenai,1987,8/9,12306
Kenai,1987,8/10,15549
Kenai,1987,8/11,11659
Kenai,1987,8/12,8454
Kenai,1987,8/13,5217
Kenai,1987,8/14,14393
Kenai,1987,8/15,5331
Kenai,1988,7/1,218
Kenai,1988,7/2,163
Kenai,1988,7/3,283
Kenai,1988,7/4,344
Kenai,1988,7/5,691
Kenai,1988,7/6,863
Kenai,1988,7/7,465
Kenai,1988,7/8,245
Kenai,1988,7/9,553
Kenai,1988,7/10,10961
Kenai,1988,7/11,75629
Kenai,1988,7/12,35580
Kenai,1988,7/13,76009
Kenai,1988,7/14,63034
Kenai,1988,7/15,52668
Kenai,1988,7/16,76971
Kenai,1988,7/17,41367
Kenai,1988,7/18,55139
Kenai,1988,7/19,47345
Kenai,1988,7/20,49404
Kenai,1988,7/21,79030
Kenai,1988,7/22,150596
Kenai,1988,7/23,160172
Kenai,1988,7/24,93037
Kenai,1988,7/25,59068
Kenai,1988,7/26,36983
Kenai,1988,7/27,20188
Kenai,1988,7/28,11822
Kenai,1988,7/29,11327
Kenai,1988,7/30,3887
Kenai,1988,7/31,4671
Kenai,1988,8/1,5810
Kenai,1988,8/2,6466
Kenai,1988,8/3,5219
Kenai,1988,8/4,13417
Kenai,1988,8/5,26500
Kenai,1988,8/6,27706
Kenai,1988,8/7,26266
Kenai,1988,8/8,14848
Kenai,1988,8/9,12013
Kenai,1988,8/10,0
Kenai,1988,8/11,0
Kenai,1989,7/1,129
Kenai,1989,7/2,897
Kenai,1989,7/3,1403
Kenai,1989,7/4,562
Kenai,1989,7/5,1996
Kenai,1989,7/6,9073
Kenai,1989,7/7,11964
Kenai,1989,7/8,7369
Kenai,1989,7/9,5459
Kenai,1989,7/10,9474
Kenai,1989,7/11,6537
Kenai,1989,7/12,50334
Kenai,1989,7/13,127621
Kenai,1989,7/14,150594
Kenai,1989,7/15,113663
Kenai,1989,7/16,71557
Kenai,1989,7/17,110727
Kenai,1989,7/18,134080
Kenai,1989,7/19,44855
Kenai,1989,7/20,122436
Kenai,1989,7/21,181918
Kenai,1989,7/22,150180
Kenai,1989,7/23,170759
Kenai,1989,7/24,93655
Kenai,1989,7/25,41537
Kenai,1989,7/26,68951
Kenai,1989,7/27,101395
Kenai,1989,7/28,73799
Kenai,1989,7/29,57764
Kenai,1989,7/30,33258
Kenai,1989,7/31,24005
Kenai,1989,8/1,41912
Kenai,1989,8/2,29741
Kenai,1989,8/3,24095
Kenai,1989,8/4,21312
Kenai,1989,8/5,18072
Kenai,1989,8/6,30955
Kenai,1989,8/7,41197
Kenai,1989,8/8,25483
Kenai,1989,8/9,10901
Kenai,1989,8/10,18222
Kenai,1989,8/11,23563
Kenai,1989,8/12,11267
Kenai,1989,8/13,7398
Kenai,1989,8/14,8313
Kenai,1989,8/15,5193
Kenai,1990,7/1,453
Kenai,1990,7/2,629
Kenai,1990,7/3,1044
Kenai,1990,7/4,6642
Kenai,1990,7/5,8959
Kenai,1990,7/6,10850
Kenai,1990,7/7,6561
Kenai,1990,7/8,7097
Kenai,1990,7/9,4664
Kenai,1990,7/10,1656
Kenai,1990,7/11,1290
Kenai,1990,7/12,1933
Kenai,1990,7/13,2665
Kenai,1990,7/14,3469
Kenai,1990,7/15,2969
Kenai,1990,7/16,4313
Kenai,1990,7/17,65286
Kenai,1990,7/18,135380
Kenai,1990,7/19,62093
Kenai,1990,7/20,53797
Kenai,1990,7/21,55340
Kenai,1990,7/22,14908
Kenai,1990,7/23,43626
Kenai,1990,7/24,55501
Kenai,1990,7/25,91947
Kenai,1990,7/26,41513
Kenai,1990,7/27,8932
Kenai,1990,7/28,13741
Kenai,1990,7/29,49708
Kenai,1990,7/30,48351
Kenai,1990,7/31,19517
Kenai,1990,8/1,11230
Kenai,1990,8/2,16860
Kenai,1990,8/3,33333
Kenai,1990,8/4,29196
Kenai,1990,8/5,14022
Kenai,1990,8/6,12774
Kenai,1990,8/7,8108
Kenai,1991,7/1,1133
Kenai,1991,7/2,931
Kenai,1991,7/3,763
Kenai,1991,7/4,1209
Kenai,1991,7/5,6340
Kenai,1991,7/6,4794
Kenai,1991,7/7,1068
Kenai,1991,7/8,991
Kenai,1991,7/9,1503
Kenai,1991,7/10,2250
Kenai,1991,7/11,3506
Kenai,1991,7/12,5669
Kenai,1991,7/13,2418
Kenai,1991,7/14,1151
Kenai,1991,7/15,2365
Kenai,1991,7/16,4896
Kenai,1991,7/17,12097
Kenai,1991,7/18,27485
Kenai,1991,7/19,50055
Kenai,1991,7/20,57252
Kenai,1991,7/21,31081
Kenai,1991,7/22,33758
Kenai,1991,7/23,44000
Kenai,1991,7/24,67610
Kenai,1991,7/25,47918
Kenai,1991,7/26,51160
Kenai,1991,7/27,66978
Kenai,1991,7/28,87261
Kenai,1991,7/29,72152
Kenai,1991,7/30,58692
Kenai,1991,7/31,59978
Kenai,1991,8/1,42728
Kenai,1991,8/2,23841
Kenai,1991,8/3,13695
Kenai,1991,8/4,5747
Kenai,1991,8/5,4843
Kenai,1991,8/6,5826
Kenai,1991,8/7,6564
Kenai,1991,8/8,12687
Kenai,1991,8/9,11838
Kenai,1991,8/10,7859
Kenai,1991,8/11,6145
